Ruc|Nombre/Razon|A partir del|Resolucion|
20100027705|ELECTRICIDAD DEL PERU ELECTROPERU S A|01/06/2002|RS R.S.037-2002|
20106156400|ELECTRO DUNAS S.A.A.|01/05/2004|RS R.S.083-2004|
20116544289|ELECTRO SUR ESTE S.A.A.|01/02/2003|RS R.S.181-2002|
20129646099|ELECTROCENTRO S.A.|01/02/2003|RS R.S.181-2002|
20100073308|ELECTROLUX DEL PERU S.A.|01/06/2002|RS R.S.037-2002|
20102708394|ELECTRONOROESTE S.A|01/02/2003|RS R.S.181-2002|
20383380643|ELEKTRA DEL PERU SA|01/06/2002|RS R.S.037-2002|
20100137128|ELI LILLY INTERAMERICA  INC SUCURSAL PER|01/06/2002|RS R.S.037-2002|
20413940568|EMBOTELLADORA SAN MIGUEL DEL SUR S.A.C.|01/01/2010|RS R.S.265-2009|
20513752548|EMCH SERVICIOS ECOLOGICOS S.A.C|01/09/2010|RS R.S.217-2010|
20465557754|EMERSON DEL PERU S.A.C.|01/06/2002|RS R.S.037-2002|
20232236273|EMP CONCESIONARIA DE ELECT DE UCAYALI SA|01/01/2007|RS R.S.219-2006|
20216293593|EMP DE GENERACION ELECTRICA AREQUIPA S A|01/06/2003|RS R.S.101-2003|
20262221335|EMP DE GENERACION ELECTRICA SAN GABAN SA|01/02/2003|RS R.S.181-2002|
20218339167|EMP GENERACION ELECTRICA MACHUPICCHU S A|01/02/2003|RS R.S.181-2002|
20100003199|EMP NACIONAL DE PUERTOS S A|01/06/2002|RS R.S.037-2002|
20103117560|EMP REG DE SERV PUB DE ELECT DL NORTE SA|01/06/2003|RS R.S.101-2003|
20103795631|EMP REG DE SERV PUBLICO DE ELECTRICIDAD|02/05/2011|RS R.S.082-2011|
20119407738|EMP. DE TRANS. FLORES HNOS. SRL.|01/06/2003|RS R.S.101-2003|
20269985900|EMP.DE DISTRIB.ELECT.DE LIMA NORTE S.A.A|01/06/2002|RS R.S.037-2002|
20100539439|EMP.EXPLOTADORA DE VINCHOS LTDA S.A.C.|01/08/2006|RS R.S.091-2006|
20119205949|EMP.REG.SERV.PUB.ELECT.ELECTROSUR S.A.|01/05/2003|RS R.S.080-2003|
20100025591|EMPRESA ADMINISTRADORA CHUNGAR S.A.C.|01/02/2003|RS R.S.181-2002|
20132377783|EMPRESA AGROINDUSTRIAL LAREDO S.A.A.|01/06/2003|RS R.S.101-2003|
20528136461|EMPRESA AGROINDUSTRIAS DEL ORIENTE S.A.C.|02/05/2011|RS R.S.082-2011|
20100737826|EMPRESA ALGODONERA S A|01/06/2002|RS R.S.037-2002|
20141723601|EMPRESA AZUCARERA  EL INGENIO   S.A.|01/06/2003|RS R.S.101-2003|
20100008239|EMPRESA COMERCIALIZADORA DE PETROLEO SAC|01/06/2002|RS R.S.037-2002|
20279889208|EMPRESA DE GENERACION ELECTRICA DEL SUR S.A.|01/02/2003|RS R.S.181-2002|
20100162076|EMPRESA DE SEGURIDAD,VIGILANCIA Y CONTROL S.A.C|01/09/2010|RS R.S.217-2010|
20143229816|EMPRESA EDITORA EL COMERCIO S.A.|01/06/2002|RS R.S.037-2002|
20270508163|EMPRESA ELECTRICA DE PIURA S.A|01/02/2003|RS R.S.181-2002|
20332907990|EMPRESA MINERA LOS QUENUALES S.A.|01/06/2002|RS R.S.037-2002|
20147626712|EMPRESA MUNICIPAL AGUA POTABLE Y ALC. DE ICA|01/03/2009|RS R.S.030-2009|
20114883230|EMPRESA NACIONAL DE LA COCA S.A.|01/03/2009|RS R.S.030-2009|
20100087945|EMPRESA PERIODISTICA NACIONAL S.A.- EPEN SA|01/09/2004|RS R.S.184-2004|
20520574779|EMPRESA PERUANA DE AGUAS S.A.|02/05/2011|RS R.S.082-2011|
20100072751|EMPRESA PERUANA DE SERVICIOS EDITORIALES S.A. - EDITORA PERU|01/06/2002|RS R.S.037-2002|
20501361241|EMPRESA PESQUERA PUERTO RICO S.A.C.|01/08/2006|RS R.S.091-2006|
20161738272|EMPRESA PETROLERA UNIPETRO ABC SAC|01/06/2002|RS R.S.037-2002|
20405479592|EMPRESA REGIONAL DE SERV PUBLICO DE ELEC TRICIDAD DE PUNO SOCIEDAD ANONIMA ABIERT A|01/03/2009|RS R.S.030-2009|
20132023540|EMPRESA REGIONAL DE SERVICIO PUBLICO DE ELECTRICIDAD ELECTRONORTEMEDIO SOCIEDAD ANONIMA - HIDRANDINA|02/05/2011|RS R.S.082-2011|
20402885549|EMPRESA SIDERURGICA DEL PERU S.A.A.|01/02/2004|RS R.S. 008-2004|
20101951872|EMPRESAS COMERCIALES S.A. Y/O EMCOMER S.A.|01/06/2002|RS R.S.037-2002|
20100592160|EMSA S.A.|01/06/2002|RS R.S.037-2002|
20102502001|ENERGOPROJEKT NISKOGRADNJA S.A. SUC PERU|01/09/2010|RS R.S.217-2010|
20385218029|ENERGY SERVICES DEL PERU S.A.C.|01/06/2002|RS R.S.037-2002|
20333363900|ENERSUR S.A|01/06/2002|RS R.S.037-2002|
20100117526|ENOTRIA S.A.|01/06/2002|RS R.S.037-2002|
20103448591|ENTIDAD PREST. DE SERV SANEAM. DE LAMB|01/03/2009|RS R.S.030-2009|
20102762925|ENTIDAD PREST.DE SS.DE SANEAM. GRAU S.A.|01/03/2009|RS R.S.030-2009|
20143079075|ENTIDAD PRESTADORA DE SERVICIOS DE SANEAMIENTO AYACUCHO S.A.|01/09/2004|RS R.S.184-2004|
20100180481|ENVASES ESPECIALES S.A.C|01/06/2002|RS R.S.037-2002|
20100010489|ENVASES INDUSTRIALES S A|01/05/2004|RS R.S.083-2004|
20100089212|ENVASES MULTIPLES S A|01/02/2003|RS R.S.181-2002|
20100182859|ENVASES Y ENVOLTURAS S.A.|01/06/2002|RS R.S.037-2002|
20516940825|EP MADERAS S.A.C.|02/05/2011|RS R.S.082-2011|
20100712599|EPLI S.A.C.|01/06/2002|RS R.S.037-2002|
20103745293|EPS. SEDALORETO S.A.|02/05/2011|RS R.S.082-2011|
20391166855|EPSON PERU S.A|01/02/2003|RS R.S.181-2002|
20265681299|EQUIFAX PERU S.A.|01/06/2002|RS R.S.037-2002|
20422488198|EQUIPERU S.A.C.|01/02/2004|RS R.S. 008-2004|
20513050861|ESCO COMPAÒIA DE SERVICIOS DE ENERGIA SOCIEDAD ANONIMA CERRADA|01/12/2010|RS R.S.295-2010|
20131379430|ESCUELA NACIONAL DE MARINA MERCANTE 'ALMIRANTE MIGUEL GRAU'|01/11/2002|RS R.S.135-2002|
20302091766|ESMETAL S.A.C.|01/02/2006|RS R.S.254-2005|
20100002206|ESTABLECIMIENTOS INCA SAC|01/06/2002|RS R.S.037-2002|
20100199158|ESTILOS S.R.L.|01/01/2007|RS R.S.219-2006|
20110886196|ESTUDIO OLAECHEA SOCIEDAD CIVIL DE RESPO NSABILIDAD LIMITADA|01/06/2002|RS R.S.037-2002|
20168544252|EURO MOTORS S.A.|01/06/2002|RS R.S.037-2002|
20349065488|EUROSHOP S.A.|01/06/2002|RS R.S.037-2002|
20535779032|EXELSO SUPREMO NET BUSSINES TRADE S.A.C.|02/05/2011|RS R.S.082-2011|
20100021847|EXPORTADORA EL SOL S.A.C.|02/05/2011|RS R.S.082-2011|
20252011910|EXPORTADORA IMPORTADORA IGARASHI ASCENCI O S.R.LTDA|01/06/2002|RS R.S.037-2002|
20522061035|EXPORTADORA ROMEX S.A.|02/05/2011|RS R.S.082-2011|
20100094135|EXSA S A|01/06/2002|RS R.S.037-2002|
20102222220|F&G PUBLICITARIOS S.A.C Y/O FISICOS Y GR AFICOS PUBLICITARIOS S.A.C|01/06/2002|RS R.S.037-2002|
20507900021|F.F. TEXTIL S.A.C.|01/01/2010|RS R.S.265-2009|
20100244391|FABRICA DE CINTAS ARBONA S A|01/06/2002|RS R.S.037-2002|
20100067596|FABRICA DE CUBIERTOS SAC|01/06/2002|RS R.S.037-2002|
20308430457|FABRICA DE ENVASES S.A|01/10/2005|RS R.S.174-2005|
20203082739|FABRICA DE TEJIDOS ALGODONERA LIME—A S.A.|01/10/2005|RS R.S.174-2005|
20100112214|FAMESA EXPLOSIVOS S.A.C.|01/02/2003|RS R.S.181-2002|
20100025168|FARMACIA UNIVERSAL S.A.C.|01/06/2002|RS R.S.037-2002|
20305354563|FARMACIAS PERUANAS S.A.|01/06/2002|RS R.S.037-2002|
20100180210|FARMAGRO S A|01/06/2002|RS R.S.037-2002|
20415090316|FARMAKONSUMA S.A.|01/09/2007|RS R.S.156-2007|
20100141583|FARMEX S A|01/06/2002|RS R.S.037-2002|
20262996329|FARMINDUSTRIA S.A.|01/06/2002|RS R.S.037-2002|
20506643504|FARMINEX INTERNATIONAL S.A.C.|01/10/2005|RS R.S.174-2005|
20100165687|FCA NAC DE ACUMULADORES ETNA S A|01/06/2002|RS R.S.037-2002|
20100051240|FCA PERUANA ETERNIT S A|01/06/2002|RS R.S.037-2002|
20100027292|FERREYROS S.A.A.|01/06/2002|RS R.S.037-2002|
20432348114|FERROCARRIL CENTRAL ANDINO S.A.|01/02/2003|RS R.S.181-2002|
20432747833|FERROCARRIL TRANSANDINO S.A.|01/06/2002|RS R.S.037-2002|
20103134065|FERRONOR SAC.|01/06/2003|RS R.S.101-2003|
20100004080|FESEPSA S.A|01/06/2002|RS R.S.037-2002|
20165317581|FIANSA SOCIEDAD ANONIMA|01/08/2006|RS R.S.091-2006|
20100028850|FIBRAS INDUSTRIALES S A|01/02/2006|RS R.S.254-2005|
20255135253|FIBRAS MARINAS SA|01/08/2006|RS R.S.091-2006|
20348682980|FIDENZA DISEGNO SA|01/02/2006|RS R.S.254-2005|
20100083010|FILAMENTOS INDUSTRIALES S A|01/06/2002|RS R.S.037-2002|
20378092419|FILASUR S.A.|01/06/2002|RS R.S.037-2002|
20196629000|FIMA S A|01/06/2002|RS R.S.037-2002|
20263674929|FIRTH INDUSTRIES PERU S.A.|01/06/2002|RS R.S.037-2002|
20505675836|FLSMIDTH S.A.C.|01/01/2010|RS R.S.265-2009|
20379454390|FONDO DE INVERSION MULTIRENTA INMOBILIAR IA|01/06/2002|RS R.S.037-2002|
20137921601|FONDO NACIONAL DE DESARROLLO PESQUERO|01/11/2002|RS R.S.135-2002|
20506421781|FOOD MARKETS S.A.C.|02/05/2011|RS R.S.082-2011|
20100028183|FORMAS CONTINUAS Y DERIVADOS S A|01/06/2002|RS R.S.037-2002|
20100069963|FOSFORERA PERUANA S A|01/06/2002|RS R.S.037-2002|
20100231817|FRANKY Y RICKY S.A.|01/02/2004|RS R.S. 008-2004|
20511179051|FRECUENCIA LATINA REPRESENTACIONES S.A.C.|01/09/2007|RS R.S.156-2007|
20100019516|FRENO S A|01/06/2002|RS R.S.037-2002|
20462793791|FRESENIUS MEDICAL CARE DEL PERU S.A.|01/10/2005|RS R.S.174-2005|
20100274206|FRIO MERCANTIL S A|01/06/2002|RS R.S.037-2002|
20207845044|FRUTOS Y ESPECIAS S.A.C.|01/06/2002|RS R.S.037-2002|
20144364059|FUERZA AEREA DEL PERU|01/06/2002|RS R.S.037-2002|
20100249350|FUJITA GUMI S.A.C.|01/06/2002|RS R.S.037-2002|
20101259014|FUNDACION PARA EL DESARROLLO AGRARIO|01/06/2002|RS R.S.037-2002|
20100001579|FUNDICION CALLAO S A|01/01/2007|RS R.S.219-2006|
20100063761|FUNDICION CENTRAL S A|01/06/2002|RS R.S.037-2002|
